Ticker,Price,RSI,RSI Signal,MA Signal,vs MA50 (%),vs MA200 (%),BB %B,BB Signal,Z-Score,Z Signal,Vol Ratio,Vol Signal,Composite Score
COHR,255.1,52.3,NEUTRAL,GOLDEN CROSS,5.2,61.8,0.57,MID BAND,0.77,NORMAL,0.45,LOW VOL,1
GLD,431.81,47.3,NEUTRAL,GOLDEN CROSS,-4.8,13.6,0.47,MID BAND,-0.74,NORMAL,0.48,LOW VOL,1
GOOG,303.93,54.8,NEUTRAL,GOLDEN CROSS,-1.6,14.1,0.67,MID BAND,-0.5,NORMAL,0.87,NORMAL,1
VRT,262.3,54.6,NEUTRAL,GOLDEN CROSS,9.5,49.6,0.54,MID BAND,0.92,NORMAL,0.28,LOW VOL,1
ANET,133.64,53.3,NEUTRAL,GOLDEN CROSS,-0.6,1.3,0.62,MID BAND,0.01,NORMAL,0.94,NORMAL,1
AMD,221.53,59.7,NEUTRAL,GOLDEN CROSS,5.4,12.0,0.98,NEAR UPPER,0.42,NORMAL,0.8,NORMAL,0
LITE,815.75,59.9,NEUTRAL,GOLDEN CROSS,30.1,164.2,0.89,NEAR UPPER,1.52,NORMAL,0.76,NORMAL,0
SNDR,27.44,61.8,NEUTRAL,GOLDEN CROSS,1.0,9.6,0.93,NEAR UPPER,-0.04,NORMAL,0.93,NORMAL,0
EQIX,1007.29,68.4,NEUTRAL,GOLDEN CROSS,8.7,23.7,0.97,NEAR UPPER,1.3,NORMAL,0.71,NORMAL,0
MRVL,109.38,69.0,NEUTRAL,GOLDEN CROSS,27.1,33.5,0.97,NEAR UPPER,2.79,EXTENDED,0.87,NORMAL,-1
AVGO,333.97,57.9,NEUTRAL,DEATH CROSS,3.0,2.0,0.81,NEAR UPPER,0.57,NORMAL,1.29,NORMAL,-2
